cd_cvm,company_name,issuing_code,nome_pregao,fonte,confianca,ticker_b3,yf_validado
25305,PATRIMAR ENGENHARIA S.A.,PTMA,PATRIMAR ENGENHARIA S.A.,cvm_code,1.0,,
25348,ELFA MEDICAMENTOS S.A.,ELFA,ELFA MEDICAMENTOS SA,cvm_code,1.0,,
25410,SBF COMÉRCIO DE PRODUTOS ESPORTIVOS S.A.,SBFC,SBF COMÉRCIO DE PRODUTOS ESPORTIVOS S.A.,cvm_code,1.0,,
25429,FARMÁCIA E DROGARIA NISSEI S.A.,NISS,FARMÁCIA E DROGARIA NISSEI S.A.,cvm_code,1.0,,
25437,URBA DESENVOLVIMENTO URBANO S.A.,URBS,URBA DESENVOLVIMENTO URBANO S/A,cvm_code,1.0,,
25542,CVLB BRASIL S.A.,LLBI,CVLB BRASIL S.A.,cvm_code,1.0,,
25640,AUREN PARTICIPAÇÕES S.A.,AESB,AUREN PARTICIPAÇÕES S.A.,cvm_code,1.0,,
25674,HMOBI PARTICIPAÇÕES S.A,HMOB,HMOBI PARTICIPAÇÕES S.A.,cvm_code,1.0,,
25720,RIO ALTO ENERGIAS RENOVÁVEIS S.A.,RIOS,RIO ALTO ENERGIAS RENOVÁVEIS S.A.,cvm_code,1.0,,
25763,VITTIA S.A.,VITT,VITTIA S.A.,cvm_code,1.0,,
25771,CALEDÔNIA SAÚDE S.A.,HCAR,HOSPITAL CARE CALEDONIA S.A.,cvm_code,1.0,,
25780,PETRORECÔNCAVO S.A.,RECV,PETRORECÔNCAVO S.A.,cvm_code,1.0,,
25798,KALLAS INCORPORAÇÕES E CONSTRUÇÕES S.A.,KLAS,KALLAS INCORPORACOES E CONSTRUCOES S.A.,cvm_code,1.0,,
25801,RODOBENS S.A.,RBNS,RODOBENS S.A,cvm_code,1.0,,
25852,W2W E-COMMERCE DE VINHOS S.A,WNBR,W2W E-COMMERCE DE VINHOS S.A.,cvm_code,1.0,,
25860,BRBI BR PARTNERS S.A,BRBI,BRBI BR PARTNERS S.A.,cvm_code,1.0,,
25879,KORA SAÚDE PARTICIPAÇÕES S.A.,KRSA,KORA SAÚDE PARTICIPAÇÕES S.A,cvm_code,1.0,,
25917,RAÍZEN S.A.,RAIZ,RAIZEN S.A.,cvm_code,1.0,,
25950,TRÊS TENTOS AGROINDUSTRIAL S.A.,TTEN,TRÊS TENTOS AGROINDUSTRIAL S/A,cvm_code,1.0,,
25992,CAMARGO CORREA CIMENTOS SA,ICBR,INTERCEMENT BRASIL S.A.,cvm_code,1.0,,
26000,TS AGRO S.A.,LAND,TERRA SANTA PROPRIEDADES AGRICOLAS S.A.,cvm_code,1.0,,
